       ,review_id              ,user_id                ,business_id            ,stars ,useful ,funny ,cool ,text                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,date
241070 ,039yTx5xZ9Zww-twHuaqtg ,Sf1XAuaLfKdxoD8mFozpPw ,sB45WFgysT617bKWP_WJwA ,  5.0 ,     0 ,    0 ,   0 ,"By far one of the best things to do in St Louis if you are visiting or moving to the area! The best thing is that the tours are completely free! I have been multiple times and love going each time. The tours last about 45 mins to an hour and are very informative. The tour guide takes you through the entire brew process from start to finish and answers any questions you may have. The tour guide also gave little bits of history about the Budweiser company that I found very interesting.
                                                                                                            
                                                                                                            At the end of the tour you are given three free samples of anything they have on tap. In the tap room when I went they have lots of options to include Stella, Shocktop, ect.  in additional to your traditional Budlight. We even got to taste one of their new beers which was really cool.
                                                                                                            
                                                                                                            This year I even had the pleasure of going to the Budweiser Brewery Lights Experience. This was completely amazing and I highly recommend it to anyone who is in the area during the holiday season. The entire brewery is lit up with lights and Christmas themed decor. Throughout the brewery there are different activities for both adults and kids to keep everyone entertained. Upon arrival to the event you are given 5 tickets you can redeem for samples throughout the brewery. These samples included ciders, Stella, and a few other good beers as well. In addition to all this they also have bar food available such as brats, pretzels, chili all served fresh with plenty of seating inside the beer garden. Again, I highly recommend that everyone checks out this brewery!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,2017-12-25 23:41:04
465494 ,SHJaOj382vkuN7P0OKP8Eg ,Y_OJBkFAb1iWtUJDzNXQUg ,29YqJwOGEuAWqlHZxMc1OA ,  5.0 ,     1 ,    0 ,   1 ,"great food. one of the best veggie burgers around! brunch on the patio is always great! and the paradise pie is in a category onto itself! amazingly delicious! great bartenders. friendly, attentive staff and management."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2008-04-21 22:23:10
380781 ,62Oo8Z-cJwSoXPUojv4zpQ ,rMH0HG1jIGd0fpDUGIXqzA ,lFCjDyvMRL_VwqMzs5_5Rw ,  5.0 ,     0 ,    0 ,   0 ,"If you're in need of stunning bridesmaids dresses or any formal dress for that matter - look no further than Bella Bridesmaids! Lauren, Melanie and crew made the experience so fun and easy. The order process is also super simple. Can't thank them enough for helping me bring my special day to life!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,2020-06-17 15:37:31
172839 ,JW8FApd2g2E4TvtiSCimaQ ,2Zj_MDSppu1fiUTN7Sj2Qw ,yeHLiKNp0hyR-ig4M6us-w ,  5.0 ,     0 ,    0 ,   0 ,"My first time at Livery was tonight, I was with returning guest who raved about the ""carriage house"" margarita! Their cocktails alone deserve their own review as each of them are well thought out with each ingredient. The food was phenomenal and unique! Our server was Josh & I would return for his service alone as he is really knowledgeable about the menu and extremely friendly! I will be back for sure."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2017-10-16 01:23:08
488933 ,5Nd6K0aqhGYS7RYCgqNhUQ ,wgqlFsng4Zkpic4KbM6C5w ,ZcAd4J3vipB1HWDlw8e-GA ,  2.0 ,     1 ,    0 ,   0 ,"So my co-worker gets their prime rib special on Wednesday nights and one day (about 2 months ago) brought me one to-go so I could taste the magic for myself. I was impressed at how juicy and buttery it was so we made a date to go in person.  We were here two weeks ago on a Wednesday of course, and we were both disappointed in the quality of meat. I had asked for mine as rare as it could possibly be and my co-worker asked for it with the dry rub crusted on it. They came out very chewy and his was not crusted and mine was medium well. We both had two drinks and the bill came to $50 something. Not worth it in my opinion."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,2019-10-18 01:56:27
385514 ,9-JE5_5PNIe8br2clB5USQ ,-z3kPNFMtjwVu2boeJsmyQ ,b7V_5q22_eTeHlYzq1bpFw ,  5.0 ,     0 ,    0 ,   0 ,This place was an awesome find and where the locals go. The half shell oysters where delicious and strait from the sea fresh! The Alligator was well seasoned and tender along with the calamari. Where can you go to get a dozen of huge oysters for I think $5. Staff was attentive and nice. And the wait wasn't long at all. There's plenty of seats.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,2019-02-25 15:34:32
311785 ,_w6W2yjfPTSGgWh67Tiriw ,AxWBtJh8X1ZnePS4ajaqHQ ,8uF-bhJFgT4Tn6DTb27viA ,  5.0 ,     0 ,    0 ,   0 ,"SO GOOD! My friend and I stopped in from out of town for breakfast. She had the Chicken biscuit with tomato gravy and I had the Miso bacon, egg biscuit. We are in heaven! We will definitely be back!!!"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2016-05-19 15:01:07
 41915 ,bTROTyTbvz5gRnkJZ7G1GA ,eib6maML4N3aC_XgLf6MfA ,sB45WFgysT617bKWP_WJwA ,  4.0 ,     0 ,    0 ,   0 ,"Free tour...which is pretty sweet. My husband and I are not Bud fans...but still like hearing the history of the Anheiser-Busch families.
                                                                                                            
                                                                                                            Wear decent walking shoes as it is a 60 minute tour that consists of mainly walking. It was pretty warm today when we went on the tour. Some of the buildings did have A/C, but I was looking forward to being done. Free beer at the end of the tour which is great if you like the Bud brands. soda for the kids...which was luke-warm and a tad flat.
                                                                                                            
                                                                                                            Worth stopping by if you have time to kill in STL. One that I would probably not go to all the time.
                                                                                                            
                                                                                                            BTW...if your GPS is unable to locate the actual location...here is the physical address of the brewery: 1127 Pestallozi St. & Lynch St, St Louis, Missouri."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,2011-07-30 00:53:48
305330 ,B2QSOhMMQe8mJW850uPpJw ,msEBO7CfSEZVVm_LqEKLMw ,RZtGWDLCAtuipwaZ-UfjmQ ,  1.0 ,     0 ,    0 ,   0 ,"My friends and I came here on a Friday night. It was busy but not crazy, we sat right away. The service was HORRIBLE. We were there for almost 3 hours. We had to ask the waiter multiple times for things we asked for, like drinks and bread (easy things). We all got apps and one of our friends apps didn't come out and we had to ask him twice for it. The food came out an hour after we ordered it. Bottom line is I will never come back again. The food was okay, but the service ruined my experience."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,2018-01-20 19:55:43
491977 ,lU-FcJySjGUIGj0h3CcuGg ,f4dLioOMUxpLq9a1ph0REw ,67gJgHHA5yW9clY3xq-VDQ ,  5.0 ,     6 ,    0 ,   2 ,"I was looking for a new salon when my former stylist moved away. I found A Salon and Spa through my best girl, Lindsay. A friend of her's from elementary school had recently started working here (Christy).
                                                                                                            
                                                                                                            I must admit, I was quite nervous my first time in the chair here, only because my stylist was a recent graduate from cosmetology school.  Not to discount anyones's skills, of course. I'm generally nervous when anyone new cuts my hair; this just added to it
                                                                                                            
                                                                                                            Anyhow, Christy made sure she knew exactly what I wanted before she even got the scissors close to my head. She knew I was nervous so she made sure she had plenty of time to deal with my outrageousness.
                                                                                                            
                                                                                                            Thank God for people with patience and awesome hair cutting skills!!! Christy is officially my one and only. She does a great job and is always willing to listen to what I want and provide feedback if needed.
                                                                                                            
                                                                                                            A Salon and Spa is located in a little strip mall. You wouldn't suspect that it's such an adorable space from the outside. The inside is decorated so well. It has a warm feeling about it and everyone is extremely friendly.
                                                                                                            
                                                                                                            To top it all off, A Salon and Spa carries excellent products and prices are great! $18 bucks for a haircut is a bargain."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,2011-01-12 00:38:02
287810 ,gG8Jqj3cdq1ZmVBcLtE8-w ,vKwoXHvV58QtXyI0KcVKKQ ,QUnvoceeKLK201dOflQThA ,  3.0 ,     5 ,    0 ,   1 ,"The Good:
                                                                                                            
                                                                                                            The ice is shaved fine, just like I like it.
                                                                                                            It's a convenient, Mid City location (close to my house).
                                                                                                            
                                                                                                            The Bad:
                                                                                                            
                                                                                                            They are painfully slow.  The line to order moved quickly, but once I placed my order, I was in for a 25 minute wait.
                                                                                                            I got the new butter pecan cream flavor, and also the Orchid Vanilla cream.  While they both had a good flavor to them, they tasted watered down.  They didn't have that creamy taste that most cream syrups have.
                                                                                                            I found them to be on the expensive side.  $4.75 for a medium snow ball with condensed milk is higher than most places.
                                                                                                            
                                                                                                            My favorite snoball stands are still Hansen's and Papa Sam's (Mandeville)."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,2014-05-05 14:43:34
