,city
337,Smyrna
338,Chester
339,Brandon
340,Exton
341,New Orleans
342,Saint Petersburg
343,Saint Louis
344,Brandon
345,Odessa
346,Tucson
347,Nashville
348,Horsham
349,Valley Forge
350,New Orleans
351,Brownsburg
352,New Orleans
353,Wilmington
354,Apollo Beach
355,Malvern
356,Philadelphia
357,Brandon
358,Maple Shade
359,Boise
360,Edmonton
361,Lansdale
362,New Port Richey
363,Plymouth Meeting
364,St. Pete Beach
365,Philadelphia
366,Tucson
367,Glenside
368,Tucson
369,Indianapolis
370,Ballwin
371,Edmonton
372,Philadelphia
373,Saint Louis
374,Alton
375,Tucson
376,Cedarbrook
377,Spring Hill
378,Goodlettsville
379,Villanova
380,Largo
381,Reno
382,Edmonton
383,Brandon
384,Holiday
385,New Orleans
386,Narberth
387,Tampa
388,New Orleans
389,Philadelphia
390,Tucson
391,Wesley Chapel
392,Oldsmar
393,Saint Louis
394,Tampa
395,Bristol
396,New Orleans
397,Carmel
398,Indianapolis
399,Indianapolis
400,Saint Louis
401,Isla Vista
402,Philadelphia
403,Indianapolis
404,Tampa
405,New Orleans
406,Isla Vista
407,Reno
408,Tampa
409,Philadelphia
410,Indianapolis
411,Perkiomenville
412,New Orleans
413,Seminole
414,Gulfport
415,Glassboro
416,Wesley Chapel
417,Nashville
418,Saint Petersburg
419,Brandon
420,Philadelphia
421,Philadelphia
422,Haddonfield
423,Tampa
424,Edmonton
425,Tucson
426,Horsham
427,Kenner
428,Bala Cynwyd
429,St. Louis
430,Tampa
431,Santa Barbara
432,Treasure Island
433,Norristown
434,Boise
435,Indianapolis
436,Philadelphia
437,Philadelphia
438,Saint Louis
439,Metairie
440,Montgomeryville
441,Tampa
442,Tucson
443,Philadelphia
444,Reno
445,Chesterfield
446,Langhorne
447,Boise
448,Philadelphia
449,Fenton
450,Spring Hill
451,Indianapolis
452,Philadelphia
453,Indianapolis
454,Tampa
455,Reno
456,Lutz
457,Tucson
458,Brandon
459,New Orleans
460,Pennsville
461,Haddon Heights
462,Tampa
463,Morrisville
464,Indianapolis
465,Indianapolis
466,Philadelphia
467,Indianapolis
468,Philadelphia
469,Boise
470,Goleta
471,Boise
472,Philadelphia
473,Saint Louis
474,Hazelwood
475,St. Louis
476,New Orleans
477,Tampa
478,Tucson
479,Indianapolis
480,Pinellas Park
481,View
482,Reno
483,Clearwater
484,Brandon
485,Tampa
486,North Wales
487,Springfield
488,Upper Darby
489,West Chester
490,Doylestown
491,Nashville
492,Reno
493,Warrington
494,Carmel
495,Tucson
496,Langhorne
497,Tucson
498,Edmonton
499,Metairie
500,King of Prussia
501,Edwardsville
502,Philadelphia
503,Reno
504,New Orleans
505,Glenolden
506,Edmonton
507,Tucson
508,Elkins Park
509,Brookhaven
510,Medford
511,St Louis
512,Franklin
513,Largo
514,St. Louis
515,Clearwater
516,Kingston Springs
517,Indianapolis
518,Noblesville
519,Langhorne
520,Philadelphia
521,Mullica Hill
522,Tucson
523,Philadelphia
524,Philadelphia
525,Palmyra
526,Philadelphia
527,Paoli
528,Indianapolis
529,Philadelphia
530,St. Petersburg
531,Tucson
532,Boise
533,Philadelphia
534,Reno
535,Oro Valley
536,Philadelphia
537,Tampa
538,Reno
539,Philadelphia
540,Reno
541,Metairie
542,Edmonton
543,Santa Barbara
544,Boise
545,New Hope
546,Reno
547,Santa Barbara
548,Reno
549,Tampa
550,Saint Louis
551,Norristown
552,Cherry Hill
553,Tucson
554,St Louis
555,Isla Vista
556,Pinellas Park
557,St Petersburg
558,Tampa
559,Boise
560,New Orleans
561,Nashville
562,Woodbury
563,Tucson
564,Indianapolis
565,Carmel
566,Mount Juliet
567,Franklin
568,Carmel
569,Fishers
570,Buckingham
571,Palmyra
572,Indianapolis
573,Mt. Juliet
574,Philadelphia
575,Meridian
576,Media
577,Tampa
578,Madison
579,Elkins Park
580,Nashville
581,Indianapolis
582,New Hope
583,Saint Charles
584,Chalmette
585,New Orleans
586,Indianapolis
587,Kenner
588,New Orleans
589,High Ridge
590,Tampa
591,Reno
592,Edmonton
593,Conshohocken
594,Wesley Chapel
595,Hernando Beach
596,Tampa
597,Florissant
598,Brandon
599,Reno
600,Santa Barbara
601,Goleta
602,Brandon
603,Philadelphia
604,Tampa Bay
605,Reno
606,Saint Louis
607,Sicklerville
608,Philadelphia
609,Tampa
610,Newtown
611,University City
612,Saint Louis
613,Edmonton
614,Chalfont
615,Santa Barbara
616,Reno
617,Mooresville
618,Media
619,Madison
620,King of Prussia
621,Saint Louis
622,Conshohocken
623,Lutz
624,Chadds Ford
625,Woodstown
626,Wesley Chapel
627,Plant City
628,Boise
629,Catalina Foothills
630,St. Petersburg
631,Warminster
632,Philadelphia
633,Indianapolis
634,Spring Hill
635,Philadelphia
636,Indianapolis
637,Tucson
638,Spring HIll
639,Edmonton
640,Malvern
641,Philadelphia
642,Indianapolis
643,Saint Louis
644,Tampa
645,Clearwater
646,Brandon
647,Haddonfield
648,Boise
649,Nashville
650,Edmonton
651,Jenkintown
652,Philadelphia
653,Norristown
654,Tucson
655,Nashville
656,Tucson
657,Clearwater
658,Levittown
659,Reno
660,Philadelphia
661,O Fallon
662,Saint Petersburg
663,Clearwater
664,Boise
665,Santa Barbara
666,Ruskin
667,Tucson
668,Montgomeryville
669,Nashville
670,Indianapolis
671,Conshohocken
672,Clearwater
673,Reno
674,Tucson
675,West Chester
676,Town and Country
677,Reno
678,Lebanon
679,Cherry Hill
680,Bridgeton
681,Tucson
682,Tucson
683,Skippack
684,Tucson
685,Tucson
686,Indianapolis
687,Tampa
688,Philadelphia
689,Nashville
690,Doylestown
691,Santa Barbara
692,Tampa
693,Reno
694,Bryn Mawr
695,Tucson
696,Saint Louis
697,Philadelphia
698,Tampa
699,Safety Harbor
700,Reno
701,St. Louis
702,New Orleans
703,Sparks
704,Spring Hill
705,Plant City
706,Saint Petersburg
707,Springfield
708,New Hope
709,Jennings
710,Nashville
711,Reno
712,Saint Charles
713,New Orleans
714,New Orleans
715,New Orleans
716,Land O' Lakes
717,Eagle
718,Feasterville
719,Indianapolis
720,Pottstown
721,Sherwood Park
722,Boise
723,Brandon
724,Eagle
725,Tucson
726,Wesley Chapel
727,Carpinteria
728,Brandon
729,Carmel
730,Oldsmar
731,Philadelphia
732,Indianapolis
733,Voorhees
734,Marlton
735,New Orleans
736,Saint Louis
737,Nashville
738,Spring City
739,Valrico
740,Brandon
741,Edmonton
742,Nashville
743,Edmonton
744,Tampa Bay
745,West Chester
746,Philadelphia
747,Meridian
748,Southampton
749,Edmonton
750,Reno
751,Saint Petersburg
752,New Orleans
753,Indianapolis
754,Largo
755,Carmel
756,Bryn Mawr
757,Tucson
758,Nashville
759,Tampa
760,Saint Louis
761,Land O Lakes
762,Riverside
763,Tucson
764,Lambertville
765,Creve Coeur
766,Sparks
767,Tampa
768,Tampa
769,Philadelphia
770,Indianapolis
771,St Petersburg
772,Tampa
773,St Louis
774,Green Valley
775,Tucson
776,Tucson
777,Fishers
778,New Orleans
779,Boise
780,Tucson
781,Indianapolis
782,Tucson
783,Newtown
784,Ambler
785,Saint Petersburg
786,Reno
787,Manchester
788,Camden
789,Philadelphia
790,Reno
791,Reno
792,Bala Cynwyd
793,Reno
794,Tucson
795,Nashville
796,Lambertville
797,Hatfield
798,Nashville
799,St. Charles
800,Madeira Beach
801,Bellmawr
802,Medford
803,Edmonton
804,Philadelphia
805,Indianapolis
806,Nashville
807,Tucson
808,Sherwood Park
809,Madeira Beach
810,Clementon
811,Brownsburg
812,Chalfont
813,Santa Barbara
814,Clearwater
815,Boise
816,Indianapolis
817,Philadelphia
818,Montecito
819,New Port Richey
820,New Orleans
821,Philadelphia
822,Godfrey
823,Tampa
824,Ambler
825,Reno
826,Seminole
827,Tucson
828,New Orleans
829,Nashville
830,Florence Township
831,Tampa
832,Greenwood
833,Indianapolis
834,Sherwood Park
835,Norristown
836,Mascoutah
837,Trinity
838,Glassboro
839,Saint Louis
840,Edmonton
841,Largo
842,Brentwood
843,Tucson
844,Nashville
845,Marlton
846,Saint Louis
847,Santa Barbara
848,O Fallon
849,Edmonton
850,St. Louis
851,Sewell
852,Nashville
853,Edmonton
854,Cherry Hill
855,Wilmington
856,Philadelphia
857,Boise
858,King Of Prussia
859,Philadelphia
860,Boise
861,Tucson
862,Boise
863,Philadelphia
864,New Orleans
865,Philadelphia
866,Philadelphia
867,Yardley
868,Blue Bell
869,Saint Louis
870,New Orleans
871,Goodlettsville
872,Santa Barbara
873,Delran
874,Philadelphia
875,Glenolden
876,Nashville
877,St. Davids
878,Santa Barbara
879,Pottstown
880,Philadelphia
881,New Orleans
882,St. Petersburg
883,Newark
884,Exton
885,Malvern
886,Warminster
887,Tampa
888,Tampa
889,Nashville
890,Sparks
891,Lutz
892,Indianapolis
893,Primos
894,Tucson
895,Philadelphia
896,Lutz
897,Warrington
898,Edmonton
899,Largo
900,Meridian
901,Huntingdon Valley
902,Media
903,Philadelphia
904,Jenkintown
905,Reno
906,Reno
907,Franklin
908,Boise
909,Indianapolis
910,North Wales
911,Cherry Hill
912,Tampa
913,Santa Barbara
914,Philadelphia
915,Franklin
916,New Orleans
917,Saint Louis
918,Tucson
919,Saint Louis
920,New Orleans
921,Goleta
922,Philadelphia
923,Bellair
924,Lutz
925,Tucson
926,Upper Darby
927,Philadelphia
928,Collingswood
929,New Port Richey
930,Mount Juliet
931,Marrero
932,Boise
933,Haddonfield
934,Creve Coeur
935,New Orleans
936,Indianapolis
937,Boise
938,Nashville
939,Cherry Hill
940,Philadelphia
941,Tucson
942,Odessa
943,Mount Laurel
944,Exton
945,Tucson
946,Santa Barbara
947,Nashville
948,Sherwood Park
949,Boise
950,Tucson
951,Philadelphia
952,Tampa
953,Collingdale
954,Tucson
955,Fort Washington
956,Hendersonville
957,New Orleans
958,Tucson
959,Tucson
960,West Chester
961,Clearwater
962,Silverdale
963,Riverview
964,Wayne
965,Limerick
966,Haddon Township
967,Tucson
968,Tucson
969,New Orleans
970,Edmonton
971,Kenner
972,Ardmore
973,Tucson
974,St. Petersburg
975,Tucson
976,Ballwin
977,King of Prussia
978,Cinnaminson
979,Tucson
980,Philadelphia
981,Nashville
982,Largo
983,Saint Louis
984,Indianapolis
985,Reno
986,Reno
987,Franklin
988,Lionville
989,Tampa
990,Doylestown
991,Philadelphia
992,Indianapolis
993,Metairie
994,Tampa
995,Tucson
996,Philadelphia
997,Largo
998,Franklin
999,Philadelphia
1000,Tampa
1001,Philadelphia
1002,Nashville
1003,Tampa
1004,Nashville
1005,Tucson
1006,Santa Barbara
1007,Tampa
1008,Nashville
1009,New Orleans
1010,Oreland
1011,Tampa
1012,Brandon
1013,Nashville
1014,New Port Richey
1015,Saint Louis
1016,Edmonton
1017,Tucson
1018,Wilmington
1019,Elkins Park
1020,Odessa
1021,Tampa
1022,Philadelphia
1023,New Orleans
1024,Tucson
1025,Turnersville
1026,Tucson
1027,Franklin
1028,Reno
1029,Saint Petersburg
1030,Reno
1031,Indianapolis
1032,Tampa
1033,Indianapolis
1034,Nashville
1035,New Orleans
1036,Alton
1037,Doylestown
1038,Westwego
1039,Philadelphia
1040,New Orleans
1041,Prospect Park
1042,Tampa
1043,Newtown
1044,Nashville
1045,Cahokia
1046,New Orleans
1047,Philadelphia
1048,Levittown
1049,Reno
1050,Town and Country
1051,Holiday
1052,Sicklerville
1053,Tarpon Springs
1054,Newark
1055,Moorestown
1056,Saint Louis
1057,Brownsburg
1058,Doylestown
1059,Edmonton
1060,Tucson
1061,Port Richey
1062,St Louis
1063,Plainfield
1064,Reno
1065,Philadelphia
1066,Westwego
1067,Tampa
1068,Atco
1069,Saint Louis
1070,Nashville
1071,Philadelphia
1072,New Orleans
1073,Willow Grove
1074,Mount Laurel
1075,Tarpon Springs
1076,Franklin
1077,Malvern
1078,Tucson
1079,Fountainville
1080,Port Richey
1081,Morrisville
1082,Indianapolis
1083,Trenton
1084,Santa Barbara
1085,Collegeville
1086,Reno
1087,Tucson
1088,Edmonton
1089,St. Louis
1090,Philadelphia
1091,Philadelphia
1092,New Orleans
1093,Bensalem
1094,Tampa
1095,Tucson
1096,Wilmington
1097,Philadelphia
1098,Philadelphia
1099,Sicklerville
1100,Havertown
1101,Boise
1102,Smyrna
1103,Philadelphia
1104,Tampa
1105,St. Petersburg
1106,Philadelphia
1107,Lutz
1108,Tucson
1109,Tucson
1110,Nashville
1111,Philadelphia
1112,Nashville
1113,Royersford
1114,Dunedin
1115,Bridgeport
1116,Wayne
1117,Edmonton
1118,Moorestown
1119,Tampa
1120,Reno
1121,Tampa
1122,Tampa
1123,Indianapolis
1124,Willow Grove
1125,St. Louis
1126,Philadelphia
1127,Turnersville
1128,Indianapolis
1129,Nashville
1130,Nashville
1131,Hendersonville
1132,Tucson
1133,Treasure Island
1134,Mount Laurel Township
1135,Philadelphia
1136,Plant City
1137,Wilmington
1138,Tampa
1139,Philadelphia
1140,University City
1141,Tucson
1142,Tampa
1143,Tucson
1144,Dunedin
1145,Glen Carbon
1146,Tucson
1147,Edmonton
1148,Tucson
1149,Indianapolis
1150,Indianapolis
1151,Boise
1152,Philadelphia
1153,Land O Lakes
1154,Ardmore
1155,Indianapolis
1156,Affton
1157,Edmonton
1158,Tucson
1159,Tampa
1160,Sparks
1161,Tampa
1162,Cherry Hill
1163,Clearwater
1164,Safety Harbor
1165,St Louis
1166,Burlington
1167,Roslyn
1168,Philadelphia
1169,Tucson
1170,West Berlin
1171,Reno
1172,Saint Louis
1173,Nashville
1174,Boise
1175,Tampa
1176,Nashville
1177,Lutz
1178,Glassboro
1179,Huntingdon Valley PA
1180,Edmonton
1181,Brentwood
1182,Washington Crossing
1183,New Orleans
1184,Indianapolis
1185,Saint Louis
1186,Lansdale
1187,Indianapolis
1188,Dunedin
1189,Zionsville
1190,Tucson
1191,Tucson
1192,St Charles
1193,Tampa
1194,Cherry Hill
1195,Tucson
1196,New Port Richey
1197,New Orleans
1198,Edmonton
1199,Edmonton
1200,Meridian
1201,Edmonton
1202,Tucson
1203,Philadelphia
1204,Indianapolis
1205,Drexel Hill
1206,Tampa
1207,Verdi
1208,Tampa
1209,Wilmington
1210,Tucson
1211,Dunedin
1212,New Orleans
1213,Saint Louis
1214,Boise
1215,Boise
1216,Riverton
1217,Ballwin
1218,Seminole
1219,Tampa
1220,Edmonton
1221,Reno
1222,Folsom
1223,Carpinteria
1224,Reno
1225,Reno
1226,Saint Petersburg
1227,Tampa
1228,Reno
1229,Tucson
1230,Dunedin
1231,Reno
1232,Franklin
1233,Tampa
1234,Metairie
1235,Edmonton
1236,New Orleans
1237,St. Louis
1238,New Orleans
1239,Town 'n' Country
1240,Tucson
1241,Indianapolis
1242,Fenton
1243,Nashville
1244,Clearwater Beach
1245,Riverview
1246,Harleysville
1247,Media
1248,Philadelphia
1249,Cinnaminson
1250,Tampa
1251,Tampa
1252,Philadelphia
1253,Saint Louis
1254,Indianapolis
1255,Boise
1256,St Pete Beach
1257,Tucson
1258,Saint Louis
1259,New Port Richey
1260,Warminster
1261,Saint Petersburg
1262,Philadelphia
1263,Indianapolis
1264,Reno
1265,Goodlettsville
1266,Creve Coeur
1267,St Albert
1268,Glenside
1269,Nashville
1270,Philadelphia
1271,Reno
1272,Indianapolis
1273,Reno
1274,Wilmington
1275,Philadelphia
1276,Safety Harbor
1277,Trinity
1278,Lawnside
1279,Valrico
1280,Nashville
1281,Tampa
1282,Pleasant View
1283,Tucson
1284,Cherry Hill
1285,Tampa
1286,Pinellas Park
1287,Tampa
1288,Philadelphia
1289,Eagle
1290,Nashville
1291,Collingdale
1292,University City
1293,Clearwater
1294,Indianapolis
1295,Indianapolis
1296,Reno
1297,Greenwood
1298,Tucson
1299,Tucson
1300,Arnold
1301,Arnold
1302,Williamstown
1303,Largo
1304,Bensalem
1305,Saint Petersburg
1306,Tampa
1307,Edmonton
1308,Tampa
1309,Santa Barbara
1310,Thorndale
1311,Reno
1312,Mount Juliet
1313,Gulfport
1314,Saint Louis
1315,Philadelphia
1316,Seffner
1317,Clearwater
1318,Reno
1319,Cherry Hill
1320,Santa Barbara
1321,Saint Louis
1322,Tampa
1323,Philadelphia
1324,Santa Barbara
1325,Wilmington
1326,Philadelphia
1327,Philadelphia
1328,Sparks
1329,Nashville
1330,Nashville
1331,Collegeville
1332,Philadelphia
1333,Reno
1334,Edmonton
1335,Maple Shade
1336,Lansdale
1337,St. Petersburg
1338,Oldsmar
1339,Springfield
1340,Tucson
1341,Kimberton
1342,Edmonton
1343,Reno
1344,Philadelphia
1345,Nashville
1346,Port Richey
1347,Carmel
1348,Indianapolis
1349,Nashville
1350,Sherwood Park
1351,Edmonton
1352,New Orleans
1353,Chesterfield
1354,Godfrey
1355,Reno
1356,New Orleans
1357,Philadelphia
1358,East Norriton
1359,Largo
1360,Zephyrhills
1361,Harleysville
1362,Maryland Heights
1363,Madison
1364,Reno
1365,Bridgeton
1366,Nashville
1367,Saint Louis
1368,Philadelphia
1369,Ardmore
1370,Sparks
1371,Lansdale
1372,Warminster
1373,Overland
1374,Tampa
1375,New Orleans
1376,Fairview Heights
1377,Schwenksville
1378,Tucson
1379,Jenkintown
1380,Tampa
1381,West Chester
1382,Granite City
1383,Dublin
1384,Tampa
1385,Philadelphia
1386,Harahan
1387,Tampa
1388,Tampa
1389,Tucson
1390,Philadelphia
1391,Clearwater
1392,Philadelphia
1393,Mount Juliet
1394,New Orleans
1395,Reno
1396,Philadelphia
1397,New Orleans
1398,Philadelphia
1399,Riverview
1400,Philadelphia
1401,Warson Woods
1402,Philadelphia
1403,Tucson
1404,Philadelphia
1405,Indianapolis
1406,Philadelphia
1407,Flourtown
1408,New Port Richey
1409,Old Hickory
1410,Tucson
1411,Philadelphia
1412,Sherwood Park
1413,Tucson
1414,Indianapolis
1415,Sun City Center
1416,Tampa
1417,Santa Barbara
1418,Greenwood
1419,Indianapolis
1420,Franklinville
1421,Saint Louis
1422,Palm Harbor
1423,New Orleans
1424,Saint Louis
1425,Voorhees Township
1426,Tampa
1427,University City
1428,Oaks
1429,Edmonton
1430,Philadelphia
1431,Indianapolis
1432,Tampa
1433,New Orleans
1434,Philadelphia
1435,Wayne
1436,Tampa
1437,Philadelphia
1438,Clearwater
1439,Phoenixville
1440,Narberth
1441,Tucson
1442,Tucson
1443,West Chester
1444,Tucson
1445,NASHVILLE
1446,Mt. Juliet
1447,Cherry Hill
1448,Metairie
1449,Edmonton
1450,Edmonton
1451,Santa Barbara
1452,Philadelphia
1453,Philadelphia
1454,Edmonton
1455,Philadelphia
1456,Metairie
1457,Tucson
1458,St. Louis
1459,Seminole
1460,Reno
1461,Moorestown
1462,Philadelphia
1463,St. Louis
1464,Temple Terr
1465,Pitman
1466,Tampa
1467,Nashville
1468,Santa Barbara
1469,Largo
1470,Horsham
1471,Lansdale
1472,Tucson
1473,Line Lexington
1474,Phoenixville
1475,Reno
1476,Runnemede
1477,Brandon
1478,Reno
1479,Creve Coeur
1480,Reno
1481,Hockessin
1482,Nashville
1483,Safety Harbor
1484,Reno
1485,Doylestown
1486,Overland
1487,Wesley Chapel
1488,Philadelphia
1489,Brownsburg
1490,Trenton
1491,Edmonton
1492,Mullica Hill
1493,Philadelphia
1494,Nashville
1495,Seminole
1496,Meridian
1497,Montgomeryville
1498,King of Prussia
1499,King of Prussia
1500,Kenner
1501,Indianapolis
1502,Malvern
1503,Newtown Square
1504,Smyrna
1505,Saint Petersburg
1506,Fountainville
1507,St. Albert
1508,Philadelphia
1509,Tucson
1510,Ferguson
1511,Philadelphia
1512,Gretna
1513,Ferguson
1514,Saint Louis
1515,Moorestown
1516,Philadelphia
1517,Tucson
1518,Springfield
1519,Philadelphia
1520,Narberth
1521,Indianapolis
1522,Carmel
1523,Brandon
1524,Boise
1525,Edmonton
1526,Reno
1527,Harvey
1528,Indianapolis
1529,Philadelphia
1530,Edmonton
1531,Tampa
1532,Philadelphia
1533,Sparks
1534,New Orleans
1535,Nashville
1536,Hendersonville
1537,Smyrna
1538,Nashville
1539,Sherwood Park
1540,Ewing
1541,Cherry Hill
1542,Levittown
1543,Gloucester Township
1544,Cherry Hill
1545,Santa Barbara
1546,Port Richey
1547,Odessa
1548,Saint Louis
1549,Nashville
1550,Nashville
1551,Tampa
1552,Tampa
1553,Saint Louis
1554,St. Petersburg
1555,St. Petersburg
1556,Philadelphia
1557,West Chester
1558,West Chester
1559,Clearwater
1560,Tampa
1561,Nashville
1562,Edmonton
1563,Nashville
1564,Indianapolis
1565,Jenkintown
1566,Philadelphia
1567,Kenner
1568,Springfield
1569,Tucson
1570,Nashville
1571,Metairie
1572,Fairless Hills
1573,New Orleans
1574,Malvern
1575,Philadelphia
1576,Tampa
1577,Edmonton
1578,Nashville
1579,Clifton Heights
1580,Indianapolis
1581,Ruskin
1582,Edmonton
1583,Doylestown
1584,Nashville
1585,Tampa
1586,Tucson
1587,Tucson
1588,Franklin
1589,Newtown Square
1590,Reno
1591,Des Peres
1592,St. Petersburg
1593,Paoli
1594,Sicklerville
1595,Indianapolis
1596,Saint Louis
1597,Philadelphia
1598,Seminole
1599,Philadelphia
1600,Smyrna
1601,New Orleans
1602,Clearwater
1603,Pennsauken
1604,Nashville
1605,St. Petersburg
1606,Pottstown
1607,Reno
1608,St Pete Beach
1609,Tampa
1610,Reno
1611,Tampa
1612,Carmel
1613,Seffner
1614,Tucson
1615,Metairie
1616,Granite City
1617,Boise
1618,Safety Harbor
1619,Tucson
1620,Boise
1621,Trooper
1622,Tucson
1623,Nashville
1624,Tampa
1625,Newark
1626,North Redington Beach
1627,Tampa
1628,Harleysville
1629,Marlton
1630,Reno
1631,Reno
1632,Saint Louis
1633,Nashville
1634,Maplewood
1635,St Louis
1636,Florissant
1637,Ridley Park
1638,Santa Barbara
1639,Carmel
1640,Nashville
1641,Indianapolis
1642,Indianapolis
1643,Downingtown
1644,Tucson
1645,Tucson
1646,Riverview
1647,Chesterfield
1648,Earth City
1649,Tampa
1650,Tampa
1651,Mount Laurel
1652,Philadelphia
1653,Sparks
1654,Philadelphia
1655,Santa Barbara
1656,Nashville
1657,Tucson
1658,Philadelphia
1659,Franklin
1660,Nashville
1661,Springfield
1662,Indianapolis
1663,Edmonton
1664,Woodlyn
1665,Clearwater
1666,New Port Richey
1667,Willow Grove
1668,Reno
1669,Tampa
1670,Largo
1671,Clearwater
1672,Tucson
1673,Avondale
1674,Edmonton
1675,New Orleans
