,user_id,business_id,text,date,compliment_count
743560,wg9ScKvGGXlOOTyeso6sQw,2swTi5zZS7dnaF2LfpLUcQ,The rudest staff ever--- nothing more 2 say,2020-06-01 20:38:54,0
261114,5flmantyW8kZdmPXNfiX9A,oNXzly-PP8-uR74LyYFRxg,Trivia on some Tuesday nights. Arrive at 7pm !,2017-02-08 02:03:01,0
99149,BbpEe9L_e-6RDyLBn3DFyA,CmjvsiafnWH60fuYz2LCmA,"Nice place, quick and nice work. I would recommend to anyone!",2015-01-04 17:09:43,0
210196,KpOE-Z-gzJxwZqss8vO3Tg,NifsdrLXQI13EQ7po7Z7Bg,Tacos are great anytime!,2016-12-23 20:04:16,0
466757,OHMtua7uzsANuBWcntKuGQ,tHPZgqtmvsrvFwPVKL8Ssw,Big screen was amazing food was way over priced.,2012-09-19 01:53:15,0
211469,Lu8y2ayxVlAzuJEVfVcH4w,OHzX-ZD9qyoeoxR8Z0dlIA,Best'n the beeeers again. Philly's hawtest.,2012-02-26 04:21:56,0
103404,3_inIIto4ZaKsuOqEaJazw,XWJASeDmCSNq6Uo2CTZOiw,"Good ice cream and selection, but it's pricey.",2014-05-12 23:45:13,0
750425,bMZqg28DMdvJBdDHgunFPw,xgEydbmSQXfJS_bCLBrQ6g,Beware of trusting Jared's with your diamond!,2016-08-18 18:55:29,0
557134,YG89lSgsujOamtfTikXTtA,ArGw19nfPgjR28TTfgb7iw,Incredible Birthday dinner with best friends and 100 pt wines. I love you guys.,2012-01-14 02:56:44,0
294627,nVXQ1ScX2I6lw0dUKFGmKA,pnZQOGEV-Ru6vHIYaUuQBw,"Try the appetizer number 1 it's a  spring roll with shrimp paste, vermicelli,shredded lettuce,with a peanut dipping sauce.",2016-09-30 00:44:21,0
854578,gWtjjkYSYvq-9i_x2tc6MA,rbPK4jSyFS10zhWYvo_Srg,Atmosphere was nice and food was awesome!,2019-09-02 17:41:46,0
175926,X2lXRtdx-6ak0kl3BUH0Tw,aqLHq0LCuqgVVjcsjeyTbA,I like T.G.I Friday and special I like cocktails in here .,2015-01-15 20:43:07,0
501806,vOH9Wzwrv-9RoQ48qgcc_w,8gQWD4yCf3vkVmLMs9wG0w,"Great pedi, lovely massage even with just the regular pedi - I'll be back!",2020-03-10 18:17:20,0
178529,b4l_VGC5dreCCNgcCnQqaQ,oofqPUU1m0AkxR3t85PfXg,@Subway on campus,2013-11-22 17:29:46,0
259086,XvPQoxcPIJGtfvyriz7U5Q,yoQBK3OUDqWEFoUDE5lM4w,Sheila is an amazing server. Simply the best. The food is great. Try the bananas foster beignets for dessert.,2018-01-06 05:04:12,0
215687,SQsvdEqz_47p0ebDOrUyUQ,9CSemNj2bWMu8PXkikv-FQ,Leisure kings.,2011-07-22 03:01:49,0
799881,1mKe8eCC4ER_i20uGRT1Ng,1PdKNEu-85diVQiiC6rjUg,They gave me a cold stromboli.....,2016-03-09 20:06:37,0
351858,nzfx0ElyVk7dq4vdTg_ncA,opKfHyDZGBf9gpWnBDZLHA,$5.00 pizza all day!,2012-04-19 16:50:28,0
832578,S9dY2gpFkfx_-a3dk7iZug,NIqFlHurHm0cj6QXczYbEQ,The fish tacos are garbage,2019-03-02 20:24:41,0
139526,lzczH29KEWmpKBfxbnJOew,AM0TA-5mW3-yZ5WrMYYPtw,Call ahead and place your pick up order!,2015-02-17 15:24:36,0
569623,1llynOxa9WgVxibZTsxZHw,wexGsdw5Wz85-hOBx9r2Tg,Tonkotsu and baked scallop California roll ftw!!!!!,2011-07-22 18:28:40,0
429350,VtvuD-f0OyUIjcLcbPEaLg,b05wG00_-dkmREglAsCbfA,Best fish n chips this side of the planet!,2011-10-01 18:50:47,0
905821,0mmiQ4Hec3XAx6y9_gLroQ,304jNC7qXTRqZNWfYoNyIw,"very fast and easy cleaning, staff is wonderful will be my go to dentist!",2020-11-11 19:04:32,0
198746,fCvMnJU1Z-XhAjKg99wK3Q,3ut1fzbMfQ1VhFvHpeLOMw,"Opening Thursday, March 12, 2020.",2020-02-26 23:20:17,0
695411,vk-tvfVEJPQXlxh6IEl4Xw,V1QXskX1iLRkBf2hpEjStA,Very cool place to go and take pics and to cool off.,2018-06-09 04:52:08,0
664788,n_zR4ZhvCAstw4AJ5tophg,op_RhWyycjpOOQrgJWUMPw,"Get the Yellow Tail jaw and dig in, poke and prod.",2014-12-14 00:04:21,0
895252,_stiTZOOgMiAVrTRk32o3w,3iSRhLUZfZSlLaQw-BzloQ,Very good!,2014-08-29 16:55:17,0
606615,NzQlkgsfltDI7_Epvp0Ejw,6pVVwtFmd7VBsgyFPHvU_w,Nice place!,2013-04-23 00:54:47,0
830500,d3Wy70SstSIfhUWzXBWmbg,Z7-p5k2Z89KAsWmy5jBJ3w,Great place for kids. Meal was delicious & service was great & catered to kids.,2017-06-20 16:19:49,0
24523,hl812QcYcZ0cRP3Hxa52dA,6cthUjghHSevS64rOYjGVw,Bring your ear plugs.,2011-08-20 01:14:54,0
142906,NMLvjdY7IOdtfU0TepvUuA,kK1re49IK3jmCYTL6B6_lw,The home made corn beef hash is a must try.,2013-01-01 17:58:42,0
312988,nHXo42Jq950NrEbCyvF4UA,u9che5TW6BzR57PTIkQgxQ,Come at Christmas. All of the lights are beautiful!,2019-12-05 02:00:33,0
639131,SBunJf9CwkYiu95PGydRdQ,dS4_CM11h7E-EDI7-Adsgg,Great food!,2012-05-07 01:51:50,0
282888,ADohMwMk4a6oe_AYvSIY9g,Qqk-jhabBWcO0xq5_BCtQA,Get the huge raw oysters from Acme and charbroiled from Drago's.,2013-06-02 15:56:24,0
844774,JIJ_THfUJSPOk8SExENQKA,10LguIzpeYam06-APg8iBA,Very nice looking hotel with a modern workout area. No pool or on spot entertainment.,2013-08-10 17:48:19,0
158297,rpUOaLv_7QkDeFQSZMZhOg,4crAK2ul53W0y3Tsjl7ThA,"Here for the Grand Re-Opening taping for Food TV's ""Restaurant Impossible""!",2010-11-19 00:05:19,0
726880,2XP4_Zur6SSaUDe6bz2jaQ,wU0pnVCtf23mxXjPzhCacA,Love this place!  Lobster Taco and Korean Beef Taco today!,2014-12-30 17:34:34,0
306366,VwrIaFdYYdY5vkXFvejOKg,ncacMQ9n_dSM1cR3c1vTQw,Food was great but the guy ( Bob) that works here is a jerk ! Very rude !,2016-09-11 04:09:21,0
720401,9GGNIrkCN0Rk0cSmMrPEVw,140a-E2NQ2K6UkTY1cuByg,Absolutely amazing professional and highly recommend this amazing place,2018-04-14 22:19:50,0
112557,BhNB6Yzb7CxNE0JMP8Vqeg,tszRCO-RchPXPZlsTCYgbA,Service has gone majorly downhill. Majorly.,2014-06-19 03:18:03,0
655341,nMHl2e2LApOJXKnFktECug,YcDZsUDsb3kKIS0IAGVFxw,Let's check this place out.,2011-03-09 02:17:23,0
860155,QstEcLRDyVLhunT1DJUUTA,9wFFQUCn1j35CYea_dqhsg,Crepes and mimosas.,2011-03-08 15:29:40,0
591450,q3eVtuAyoxRiEm7lVwh3BA,bT_ew6q5rdIHRs3niekTLw,Kitty's gotta eat! Meow.,2012-07-23 19:42:00,0
255855,7DhP54DOhBABQT0pFNLKOA,rOspf7E1Y8YAbVXTZyl-tQ,"Great vegetarian options, nice atmosphere and lots of drink options.",2017-05-23 21:13:32,0
709930,O2_akKr81EB5SQYq4WrBHg,yI-ahfduU45_bZa3ZgEx4w,Mmmm!!!,2011-10-14 23:27:30,0
215926,UgRhP7WYdkM7sh-2b8BTwQ,BJOGo_upuBElDT_xOaurIA,Very lovely experience.,2013-12-21 16:17:34,0
773850,QZyNT4MnxNvKFRBnl0SX5w,Pw_uQy7ve49W1CIMaBuqqg,Terrible table service!,2014-06-01 05:16:10,0
896937,tthZG87qbE_6uwoCI1PaJA,y0CPKGHQBPH-maFgP5IFYg,Pimms cup,2010-12-26 22:19:12,0
449521,3CzuOl-nZQsk_brwy-LStw,CcAtO2dgxzG58x6sze8dlg,Best pralines I've ever tasted!,2011-11-21 20:17:00,0
531674,nsG1jChcBHi8R9zqegUVtA,wP2ok4O0GsR9td7Iiv1zKA,Best Cubano in the city!,2016-06-25 17:06:47,0
112519,ge99zyDCEu0rsvqFABFghQ,g6YU9lV-caYDhiPJviIMeQ,Best place in town! Yummmm,2017-05-16 23:25:10,0
692848,qT5Xufn2Jhgwn8sny65Yng,atZ_olNKXOG4rEr6mccN8g,Amazing doughnuts -- look no further. Everything I've had here has been amazing.,2021-08-22 06:11:09,0
529366,tgeFUChlh7v8bZFVl2-hjQ,Ut4tiRgbuL5sOa3hZemWGQ,"Has no resort fee because it's only a casino, has no hotel and no slots.",2021-08-12 19:51:57,0
763504,QY_HnpRQj_sfqfpoYyMoLg,l2pI-rFzP987wR9FNm_d2w,"Went to this post office it was open late! Not at 9am! But 9: 11am ,called to window may can i have a 629 money order. No was her reply",2012-05-04 13:19:47,0
118370,0h7gG_OQg08OxW56Ut4q0w,vbH8RTnw5UD6m3lFV-NeJQ,Waiting for my Sweet Juliet arrive from Kingman.   Enjoying great veggie by myself...,2012-08-13 20:34:10,0
303480,8bhKhUCpEa5Ugrplbt4cag,M7Y338g9JFs_0fNR1RA82w,"Hot residents tip: They charge a 25% additional fee for room service, plus $3 and then you're encouraged to tip. Save yourself some money and call it in as a pick up order; go down stairs and grab it yourself! It'll be done in about 15 minutes!",2018-12-14 00:04:00,0
280213,9FH2Cmaebw0VHqg-fOfjYw,r7n3w8fxv7i-XySSfzBYrQ,Poor customer service and low quality food.,2016-10-18 17:42:30,0
437274,E4BsVQnG5zetbwv2x8QIWg,ujYhU3bX35BCVj1NUbSQpQ,One of the first new coffee microbrewers in the city. Worth a look!,2015-01-12 19:18:26,0
130454,7JgENga1ipXXbPYhIz72sw,_f6Nt2ANNIkemPuA_QnsmA,Schwartzie!!,2010-09-13 17:15:13,0
357268,TCQUuWYCNoDBEGHUvT1WCw,jj4BGmRq84nO08xf4R-GhA,This Walmart has a walk in medical clinic!,2013-01-20 03:40:52,0
243139,KWLxxZKAcdUOBqBLMPW22w,-y5vYOsyL4bSFxeOtQtYbg,The coffee and dessert counter is amazing!!,2016-05-18 01:23:15,0
78747,55ZIeF3DtJlHYmZBkWVM0A,mUdjeVjdsiOQMBK41x0Bow,Yum! Tasty food.  Great beer.,2015-03-01 04:42:58,0
262449,tUVprgEsy_yIdq7nt2JtlQ,nR3VW9i2K8033QY0ZMTisw,Two guys I am with loved the miso soup so much they each ordered another one,2012-02-03 03:46:14,0
731038,ru-w6ITKWTjd8Hdc0ys3Bw,WJttCFNov5-QJr4govnySQ,Get some fish.,2011-06-23 00:13:37,0
773255,dID9mEvm_E6pM9C5o2KZYg,rnGZEp-0YbCFiDmSZXWgLA,Great food and good margarita! Yeah!! Always enjoy it. Nice waitstaff.,2015-08-01 21:40:26,0
104994,VE0QGXgF-g_05e0fc25JEg,2OSz7GqL8D5-s4T7jUMLFQ,"It's really really good! Coffee is good...just go, you'll like it!",2016-06-03 01:30:56,0
229221,KTYBFQPq4dV4J2AyF9f4sA,oW0t4UaKmQGTlyT6F9j-hg,Great pizza period!,2016-08-28 16:30:45,0
474108,_AAB8K6L21Co2I0iRKmbKw,v9QmdqvmKazfMmZGfXLthA,Excellent beer selection,2014-07-17 02:46:50,0
433870,jKlqWnX__4EfD4J9haLJsg,p9hTISqPZrULTkdbsvMuyg,"Great location, great staff!",2018-03-22 02:00:41,0
834992,nrs5tgaYUBY7G0gGP4L9yg,Ezul-y-trSK8EHtcv40itQ,Wednesday wing special all day!,2013-11-20 22:34:35,0
649319,WQisnCmv6np_aaWF2-XxeQ,RuT4UXoJEtNGwzeZ0igeNQ,"Super slow service, plain flavors, nothing special. Great concept but poor delivery. Good onion rings.",2015-06-27 14:39:41,0
798331,bs152M73rHyYQtNnId6ADA,RLlOK2fL6xU1sfIPiP2QBw,Best charbroiled oysters we've had so far. Way better than ACME,2015-12-07 02:59:10,0
530999,Lb-0y35-vafOkfd9YBWXLA,1jXh2YHOunYpRf7QJiTj8A,Check in for free appetizer (9-9-2019),2019-09-09 20:14:05,0
318918,1pzP58PeWictHQzctMU0nQ,oSccKbI3LGXuMVSfTKH-4g,MotoGp weekend!,2015-08-07 16:01:48,0
459672,qOWCiI5mhWfO5Sht-wUNTQ,zSSdM5JsAcnbhB09v33vow,Amazing! A must see! Exposing all of us to great art through Lego!,2017-07-30 13:58:13,0
233360,O093fsby0DSRcnMBp8vY1g,OX-Y_c0iZTVNUSzxauiJCg,1st Walmart in the company with valet.,2011-05-28 23:25:49,0
643169,6PNX05LXfnCftLD1myQ-Wg,QtST1igZAi0q9LxJr6srIQ,Only get the fried stuff... The rest is waterlogged and without flavor.,2011-08-12 17:36:19,0
285138,zYFGMy1_thjMnvQLX6JNBw,MiVH7hkTJKTIFo3VTbq09w,"Andy, Jill and Jennifer were amazing in Nuclear Med. My tests went smoothly, effectively, explained well and the environment was very calming",2021-02-03 19:53:44,0
