,user_id,name,time,rating,text,pics,resp,gmap_id
192647,110093443944433700305,Trevor Larner,1614738898309,5,"Great Covid dining experience. The tables are well spaced and the outdoor patio is very nicely decorated. Service was fast and kind!

The food was very good - I started with the bruschetta and then had a small pizza (Macellaio). Both were excellent! The beer list is long and interesting, with options from around the world. Highly recommend!","[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipNjlyZza9Z2X-e8QvqTZW44UBZ_yRqAQvn5k5rL=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]",,0x89b7b7c87e6909e9:0x544e01c77c977afa
412687,117320804448750928640,Ebony Lewis,1558469431915,5,,,,0x89b7b98e98d428fd:0xe3f445ba73895f13
153581,114044935132348721012,Frank Workman,1574197591830,5,,,,0x89b7b832498bc863:0x54c365b8a7c83238
50445,101334160629796335162,JOANNA London,1481565363511,5,"Warm, inspiring community. People who strive to bring out the best in others and themselves. Family and single friendly. Big on social justice.  All are welcome.",,,0x89b7c8ebaf55cf25:0x4e42f927d0347f2a
272262,115856514034304995091,A W,1513610164137,5,,,,0x89b7b790bbf2693d:0x459186bd6043d421
461665,106907484361460579850,Zach,1580450793985,5,,,,0x89b7b9d5d387c189:0x1ddd7a523a5e8a03
485536,107656461252809356011,I#hate Toyotacorollas,1536883293887,1,"Disgusting, slow, lobby smells bad",,,0x89b7c81104e682df:0x404d593943be1a59
398623,116849772097209560835,Steven Feingold,1558205031622,5,,,,0x89b7c81b6b4786b9:0xdec4549431ac6853
466222,118083059366866594711,Jude Wasyeba,1489450279512,5,,,,0x89b7b7da2d4cba73:0x2141e4317dfd2c4
41508,116994576899962344352,Diego Luna Bazaldua,1580819522122,5,Nice cocktails,,,0x89b7b7c28d341453:0x29154a69835703e6
139514,107971917692326747841,yared gebremariam,1572359089020,5,Fast service,,,0x89b7c86684e307f7:0x33515070b58f06dc
193240,115855319186934964338,Renee',1497108412000,5,Managee went above and beyond to accommodate my large party in a short amount of time. Great food,,,0x89b7b79204c3eb5f:0x4bac8ca544cb5d08
484318,100415273947885818705,Gisela De Leon,1569773114851,5,,,,0x89b7c8215bc1f195:0xbe2afb20e4c29e38
390943,117512109208267106294,B M Washington,1547854406795,4,DC's first Hip hop museum,,,0x89b7b77e4ad25f25:0x72ef04135d142f3f
97643,113023716282711717842,jennifer franklin,1519258806694,1,,,,0x89b7b816d39d18bd:0x9fb824fe5258eaca
42069,107882009996607640322,edward Essex,1592601117807,5,I no longer will be going to Subway.... Will be going again real soon...,,,0x89b7b869427609c1:0x2e0e0d91329ef594
322413,117047192333305671424,Jason Looker,1573612775518,5,,,,0x89b7b7da3307bb51:0x60abc75bb55bf276
225069,102231158375550250434,scott g,1528042554631,3,,,,0x89b7b7904a7f8fed:0x2d2f6711a75c2736
79848,110128801815258288512,Mary Nyawera,1601777597940,5,,"[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipO3oyooQRTrHnzRwo3MMbuNDt8MclgBnpcJr-d-=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]","{'text': 'Thank you for the 5-Star Review!', 'time': 1618409740403.0}",0x89b7b7c80aafe7ad:0x4ab935f73039140c
142596,104334390430216420645,GUILLERMO MORALES,1582744197381,5,,,,0x89b7b7bac5725079:0x933d21b7b0bd944e
10100,108595598516349918624,Josie Brown,1544810160988,5,"There Ministry leaders knowledge an wisdom,Missinary program out reach an the share program",,,0x89b7b7f9e9dc92f3:0x6030795308989ac3
310011,112356064222605087378,I EAT BATS Dude,1497555389585,4,They have few good restaurants here and it's in a good area but the parking cost a lot more than it should.,,,0x89b7c9d316a994dd:0xea923cfad65021ce
539909,113013967277435473298,Connor Smith,1524063322445,5,"A Smithsonian museum with something for everyone. History, landscapes, culture, sports. NPG has it all, and a great atrium to boot. The Smithsonian I most enjoy visiting.","[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipOqiJcD_k3UYApTnAG-33U6HdI6XxH2r1qODDVE=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPQroSFTXS8TO2cwzKYuCPLXAGEF43WnrB0ItSu=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipN7pslxFCrjkbdA_8HaqSYtCwBH56VgHJAMnvME=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipNGwPTIEEX5wY_mNmSavg7Qn982wIpODdwEjHfm=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipN8aKGVfsxelIDKmeXYww-RZmx-s2VRw2eBKJMR=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipNTPHlTXYC54pl5QYeWg6aXHNzHjafXQbya7o8H=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipM7DTlJ5zZuiAp_tCbD9yOuHB1LI_mZqzNhlvtA=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPvuiCEvA-_AAUN77e1TWKJbZfaxh0tTWaNcSEH=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPJPE3JNqrPJZpEX2zLpgW58nJ8gqHh7g2uQd56=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOc4iKEkSxkT-lRQ4RXdnak1LKao3JAwJxwdexw=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]",,0x89b7b7918467d295:0x2a576a2d70cc9d9c
444881,108518214301128898905,Gabe M.,1519571111004,3,Eating place for govvies and tourists alike,,,0x89b7b782dfe87297:0xa395ee2d104073e0
3607,104021363531395436846,oscar fonseca,1566092058100,5,,,"{'text': '(Translated by Google) Thank you Oscar and I hope in God that you always feel good and I hope your Apollo always without you the business is nothing thank you very much and may God bless you\n\n(Original)\nGracias Oscar y espero en Dios que siempre se sienta bien y espero su Apollo siempre sin ustedes el negocio no es nada muchas gracias y que Dios lo bendiga', 'time': 1568573409251.0}",0x89b7c8181b8217a5:0x146664be8d5061d2
216941,110081664490222449213,whisper fatima latson-Davis,1520568111917,5,"Healthy choices for small prices..I was shocked, but the lines where very long especially around lunch time..",,,0x89b7b81edef0ff85:0xec6c205384a213c
517811,100052576014695472184,maurice pearl,1547770192097,4,"Very upscale, clean rooms. Couldn't complain",,,0x89b7b7d37787c433:0x7451de2b2bec1404
189821,100926117622667769699,A K,1610594833897,5,,,,0x89b7b7c1d868f213:0x9ac6c418829a6b0e
559049,108685088499037393002,Sunny McKaig,1561939506911,5,No words...,"[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipN1u3f0CGGOWShXDMW7Q4hrDHMgXvd8iBn21_lK=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipNp2xBF3VxdSSK7mOThMN-3bzzP8sfQrqcEW57E=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOoTyGqQ7Bx91FH4pMKlr04eh0BUNxH69S-7y6i=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOvaiar0IbO81zi1JWMuJjULJrMN2b9h3acX2wd=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipMALMw1HZj7Hc2zC589nJOI2qCE5wzNs48Aq1pY=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipNdUxadgQW69JChMXXTsFtn6J2OHgUPdxp8UmAJ=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPS46YGNLbdpAyY1o3bnRh0cz30iiWymvaRyxma=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPtdiAYTmGagr-UylAGTeMrZr4EfiUK-3ZzxQRx=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOAhNEV5riHFN8p4iTevgS6oii6RGM1EiJ7qqbb=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipMytaqP-wFkrIft0p3cjNgNJv_PCKbcHL3te8Nt=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOlHj6mX6tZrOcLYfKp7Tf0kh8qexrx71Ts6MNB=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPlebvwbKjv6WbPWiTA3P3Wo1BuyV5CMKF3zQbl=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipO5d9JZZWuJHNjChWEzlCDbe0W1JOW9nBa2_aeQ=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipN1sQHx9_Z46RedmwgfR3ZXxLNiBzGfnP4Bxd98=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPwshnEhds97TyBU38B8owiyNumFx_GqpyF3ASp=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipNNH0yZNg87W2Std73CQZ0ZWuaJCniMrAhixPlB=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPJmrPFtx95NGP5gfRbQRHXfGnV_-l09QIwf-UP=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipP18iVPKLRE-xMh97tfL1AiqXxTouA85WiY8wNT=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOGGD55mc0rRihcy0yBLyPJky4dffC0DVYaQ8ob=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPW6cShdyBLQOyjsBeSu_TsHaRrr63hWF2URSfd=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOpDIkSXhM4HPD1geOZmGFj4AxHmrj2xKs8EVSB=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipMo0PVyILbhpfP3fn8PduQMMitIKZZcFymviDLD=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipM3VRPiC_RBvp-5uP35vtTZFcJh-QQI71leZGPw=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOMdvJR2PieUIfnbEEoKG8rJEiP3zOscOzvJM0m=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipM5Vwz574HV-8DstpzQgNG6dhnpMzXply_pu6BQ=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPcwYxEuc0qAambPBh7HgL1HrYkLaGgYox9KZ8r=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipOeWAPgquMX76CJkec-aRO5ex847WEOGzlaigDB=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]",,0x89b7b7a02b10a065:0x73cf754eae741db3
534250,108164450230088073405,Jake Fuqua,1554054475707,5,,,,0x89b7b7c63dc61715:0x6197332ff8e08d48
354565,111718810595826545708,Jonathan Ward,1549059309045,5,,,,0x89b7b770a2c902b9:0xf4fd6daf64dcc2f6
140980,112133926448640154769,Joe Dixon,1500054471840,2,"I definitely understand why this place has mixed reviews. The first two times I came in it was awesome. Staff at the cash register, quick-service and friendly seevice and my clothes were ready fast looking good right on time. The last two times I came in to drop off clothes between 8 a.m. and 8:30 a.m. the line was so long, as there was only one person working the register, I left and walked four or five 5 doors down ""regular cleaners"". They also have one day service and the price was the same. This particular zips lacks consistency and personality. I do not think I will be coming back.",,,0x89b7b869f3d77b23:0xa493363badc0a382
343613,100263720126497593980,melody carroll,1537141021361,5,Good,,,0x89b7b80837ed2755:0x64ca35093140916b
429933,102274079820148826105,Faith Wright,1605038392712,5,Steak n cheese egg rolls are out of this world! Everything delicious 😋,,,0x89b7b86f0302f355:0xb4ec4b0431953bfd
397818,116916927065934112165,Matthew Muir,1520103922270,3,"Third visit: two stars deducted because they're still seating people in their second dining area when the air conditioning is broken. Way too hot and uncomfortable to enjoy our meal. The servers and hostess knew that it was wrong, they were apologetic. But it was still a waste of money to spend over $100 on brunch for 4 people in a room where no one could appreciate the food.

*****

Second visit: excellence again. Pork shoulder with potatoes is tremendous.

*****

Excellence in food and service. I thought the fish dishes were the best: the bacalao and merluza (hake) plates are highly recommended. The fresh cheese and membrillo (quince paste) for dessert was my favorite, but others at the table raved for their flan.","[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipOPACcUuwZ8GaIjNv-APC7U9CfYZEIEQvZnKgDi=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipP9WrWWG1QicN3aNqBOAh2J_YACgeTZwJjXfFel=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipPFj6JtetcPzpTR3BudydL2FrsgBPZS4y3xH4Xr=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]",,0x89b7b832362c3acb:0xea220ec843e26e12
225465,111511923796342847424,Lesha B81,1576280712534,5,,,,0x89b7b781447e4419:0x42e33d0b097a39ed
185368,115018672160924507093,Steve Glaude,1557444235657,5,Love the New Theatre design,,"{'text': 'Steve  thank you for the 5 stars! We look forward to seeing you soon - what film are you looking forward to next? — Regal Cinemas', 'time': 1561098615881.0}",0x89b7b78e1d3cad53:0x1126386861f8d3f8
443243,107581113275236583838,Jesus Trevino,1565896453753,4,,,,0x89b7c821e75254cb:0x3941e192961c78b5
349917,104560499112325062163,Mike Sackie,1559956967586,5,Always great finds its a hidden gem,,,0x89b7b96c8725f799:0x61070a245ecd3c42
13650,109622439502617711799,Lotus Wellness,1558012712566,5,The location  is perfect for me and I love this place so much because of there vegetarian food and flexible service. I was asking them something out of the manu and they are happy to make for me and serve. Thank you for the management and the workers.,,,0x89b7b7e2a3f8e899:0x2267dc96616e9b26
428381,114842150743663432279,Ali Reza,1567862664301,5,Great macaroni and cheese. Very nice and friendly staff.,"[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipNQWKrg84OrLFvPqAeqcqGq_br3VeETIJhtJJDw=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]",,0x89b7b790bbf2693d:0x64fd42299014fd47
470048,104157080189692701774,Fahad Aqeel,1524176899169,5,Steak and cheese sub is always the move.,,,0x89b7b64b2e109e21:0x9d98a35319a34870
348876,108670033385856741642,Matt Johnson,1506560922312,5,,,,0x89b7b795dc2c001b:0x6a43ba14c1267126
322752,109632241972534778194,Ben H,1566047544805,5,Try their gin and tonics. The wait staff is one of the most respectful that I've ever experienced.,,,0x89b7b7ba18d8071d:0xd8f67d93fc37f209
96718,105454812863474487125,Farida,1546086117533,5,,,,0x89b7b61f216f2cd9:0x19204dba5d3fb863
505841,113075300572737042635,Antonio S,1552343884518,5,Great store,,,0x89b7b78a43801995:0x9870ee27e391160e
353532,111037444257925562913,Miss Lady,1559788297488,4,The Rhode Island location is the best. My orders were always fresh and hot.  They offer a pretty large menu. I love the smothered chicken. The bar at this location has a party atmosphere and is a great place to unwind after work.,,,0x89b7b809e59e4ddf:0x6ca4eb8567762d92
476758,103082347098091363844,eliana Patisserie,1582849993314,5,,,,0x89b7b7928ca1dbd1:0x75c97eec8431e0d3
251212,102621787247855756444,Michiyo F. Walton,1578095029079,5,,,,0x89b7b64bfd853a3d:0x603d1999c9518ff6
68906,104255376304940646549,Matt Lynn,1512860378627,5,,,,0x89b7b7e573b9dcab:0x1c58158d46e7995
100268,107656656858691873029,Harland Abraham,1570933502203,5,Props to The Saloon for being a not-for-profit pub and building schools in other countries.  Great beer selection.,,,0x89b7b7e66da7470b:0xc41c7ba385787703
368310,111873498046541174475,Chris H.,1560895342293,2,,,,0x89b7b825b5eaa245:0x9cc9fe63cc36c0ed
34889,117623524105083489707,Trevor Fisher,1568234853183,1,Almost $15 for 8 oz of beans that were roasted >3 weeks ago at ANXO. No thanks.,,,0x89b7c94a787b8585:0x514a4b7a06e949fd
382449,107113211414224992134,Danielle Carnes,1551754937869,5,"Great food, affordable for the area. A fantastic Dupont staple",,,0x89b7b7c8a7700675:0x338204aeb3d76c40
559407,101516589049663845395,Lisa Wellman,1479309355059,5,Amazing experience but can be a bit depressing.,,,0x89b7b7a02b10a065:0x73cf754eae741db3
378384,111545078124279566195,Zach Schultzhaus,1566354346357,4,,,,0x89b7b793826b5bdf:0xd2244294f7a9dbdb
145796,112428216307011345100,Cyrus Family,1554156129527,4,The bugers here are consistently good and the fries are bountiful! The steak and cheese ain't no slouch either.,,"{'text': 'Good morning Cyrus, Thank you for the 4 star review and your kind words, we look forward to serving you again.', 'time': 1554217493612.0}",0x89b7b77bc43e8e81:0x8475a084b3d94fbb
264029,116313419943299383971,David Wang,1466525712536,5,,,,0x89b7b649d946966f:0x99004c862765498d
232318,113829491454733989515,Francisco Lopez,1618054566992,5,,,,0x89b7b9d050bc6cc3:0x2ab934289765ca4f
14498,115034053470827162399,Nate Nate (Nate),1567607185374,5,Best smoothies and açaí bowls in the city! The smoothies always taste great and the staff are always friendly! I come here all the time!,,,0x89b7b810eba0d251:0x3f1a66f344189d72
357728,117174897975692488185,Kevin Sweitzer,1560274900557,5,"Amazing chicken, and the macho peas are to die for!",,,0x89b7b7d416c559cd:0xbd498c7c890026ef
291584,104331410871262863946,Ana Elena Volz,1573402369865,5,,,,0x89b7b77816a497a7:0xa133a2b2037c74a8
252015,106032356040521733103,Flemming Allsted,1557732040695,3,"(Translated by Google) A little high price for such a small exhibition, so they could successfully take a less expensive price on this. At the same time it is a special experience this.

(Original)
Litt høy pris for en så liten utstilling, så de kunne med hell tatt en rimeligere pris på dette. Samtidig er det en spesiell opplevelse dette.","[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipN2IAfHtK9ge5haNRlD413feV7ipINinMAo6vHf=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipMVFS8Ww_Ti3V4dJpRjGYSQyml0Khj6L0yEQaKH=w150-h150-k-no-p'],
       dtype=object)}
 {'url': array(['https://lh5.googleusercontent.com/p/AF1QipO_S6tCqE5_LURiezJ0ovuqg0aIyWbY93zzkgfi=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]","{'text': 'Hi Flemming,\n\nWe definitely agree that we offer a special experience! We are proud to say that our ticket sales support not only the proper functioning of the space, but also the artist with whom we work, something we think is very important.\n\nWe hope that you will be able to visit again to see more of what we have to share with everyone!', 'time': 1558023361107.0}",0x89b7b7759347d94f:0x63c96a0c4fdc78fa
74522,106159091147366666522,Hibret Tilahun,1561911829285,5,,,,0x89b7b9d3b4bd4109:0x425f7a9b4210e06e
303564,100854089114596021721,W.L. Enoch,1575049005038,3,,,,0x89b7b6496499fb73:0x26315099f5431598
40829,106302087187928141348,Stacy Ruffin-Smith,1495985638332,4,Good place to play,,,0x89b7b81527ba22e3:0x335b7e78eb5826a2
192374,103273336584535111490,Mike LaRosa,1405118618755,5,"This is my all time favorite place in DC.  When I am in town, I am often there at least once a week.  The buffalo chicken salad is the bomb, their truffle popcorn is delicous and it's one of the only spots in that area that opens up early for breakfast 7 days a week.",,,0x89b7b7c1dff26fff:0xcd4f1d035cce59fd
137869,105910860415169538205,Steve Marr,1580643440940,5,,,,0x89b7c9f0c88a901d:0x43cf65d0273fbcd0
396994,108003843949768956712,Adam Mele,1521743297052,4,"I sometimes ponder where we’d be as a society if coffee suddenly ceased to exist, perhaps as the result of an embargo. Would the finely tuned gears of capitalism lose an essential spring, leading to workers showing up late en made and office conflict exacerbated by caffeine withdrawal? While simply pondering this scenario is enough to make one question whether there might be something altogether sinister behind much of what we frame as “life’s simple joys,” it does make me grateful that there is such a thing as coffee as a subject of such a system. It tends to make me feel good, and the bitter brackish joy water (my personal term for coffee, “bbjw” for short) served at this particular Starbucks outpost is no exception. The manager is friendly and welcoming -more so than anyone might expect from a Starbucks attached to a chain furniture store- providing more of a neighborhood atmosphere than one might expect. However, the seating can sometimes be quite cramped when it’s cold, so those choosing to stay would be wise to keep deeply personal conversations down to a low volume. That is, if you care about such things.","[{'url': array(['https://lh5.googleusercontent.com/p/AF1QipOs3w2Qjbk-cutyjupKucldxCLTJDzLNKkIiirO=w150-h150-k-no-p'],
       dtype=object)}                                                                                                ]",,0x89b7c9f0bc7552af:0xef1771229236f2ec
561588,113604398234280710324,Janell Addison,1524953768410,4,,,,0x89b7b83324a11a2d:0x7b8009e16f972672
401436,102869766402086397683,Angela Graves,1568148146207,5,It's okay,,,0x89b7b9a05ae984f1:0x65bc9bce90c8a95c
400865,101831411898352681017,Karisa Daniels,1535583420119,4,,,,0x89b7b7e989f7d65d:0xfe114cee6860b07f
503115,110984848247799822279,R. Denise Everson,1514519509983,5,Awesome customer service,,,0x89b7b7bdf255867d:0x1f18f9c7ccc417af
391798,101221592609068046397,Niko J,1539908725295,5,I loved the pancake fried chicken with pork dish during brunch!🤩😛,,"{'text': 'Yes!!! Thanks so much for coming in and for the 5 star review! We now have happy hour 7 days a week :) See you soon!', 'time': 1541253165734.0}",0x89b7b7e86cabe0c7:0x4be184430515916e
162862,104631039896910413363,Sydney Hodges,1520033334528,5,,,,0x89b7b7e4e228e9c5:0x3161fd12357c29b8
454166,109707733795536535868,Dan Barrie,1536011607389,5,One of the best and most vibrant independent book stores in the country. A node for cultural and intellectual events in the D.C. region.,,,0x89b7c9b992f1a9f7:0xb82a9184a0d413af
42796,113346908798446249780,Helen McCulley,1597410226707,3,It's open late with a wide variety of food. nothing tastes really horrible but nothing tastes really great either. Definitely serves a purpose.,,,0x89b7b84024de2043:0x1161457dd45bafb4
244025,105208732673647536185,Dianne Aguilar,1569191138213,4,Pretty good American dining and cocktails. A good place to hangout with co-workers for happy hour.,,,0x89b7b791adeb6423:0xdb8adc6052b91f85
373298,108059387604156832859,Paul Fisher,1536916611254,2,,,,0x89b7b7b937e2c2e7:0x9fcf38c8779230d6
344271,102999392886622572670,Candace jackson,1582653812770,5,,,,0x89b7b9f8334ba047:0xf7751d64cade8a6
58335,102668443605991657977,Jordan Clough,1471380593284,5,"Great local business to support. The husband/wife owners are super friendly and work the counter, ready to offer their thoughts on preparing any of the fresh seafood or what to get for lunch.
I bought mussels and clams here for a big family dinner. The price was great, and they gave me some critical pointers for cook wild sourced mussels and clams as opposed to farm raised.
Had lunch here about a week later and the sandwich was incredible - perfectly done, crispy filet, and she knew how to wrap it up 'to go' so it wouldn't sweat and make the sandwich soggy!
Must visit if you are at Union Market.",,,0x89b7b810ebd9bbff:0x5cdc759d4859f0a0
441455,108257616705000117160,Damon Ellis,1517783461861,3,,,,0x89b7b98c346f2077:0x780ce0ecb662e95e
372752,105283947192969241495,Mark Twaine,1469201727347,5,,,,0x89b7b790050adedb:0x1404c312ed451e50
379683,108714230059464994437,Danny White,1486129803330,4,,,,0x89b7b7b8c219544f:0x9a113eff6deb4cf3
